ndc11,year,total_units,total_prescriptions,avg_units_yoy_growth,total_amount_reimbursed,medicaid_amount_reimbursed,avg_amount_per_unit,avg_amount_per_rx,medicaid_risk_score
206886102,2024,3631.325,1956.0,-0.7358207438110704,1374613.91,1354499.26,383.69328401858354,495.8839145919807,-0.32951873830193673
206886201,2022,9501.834,4823.0,,179891.45,95695.27,142.5248412107728,48.703832742701486,0.0620349116608395
206886201,2023,3902.227,2153.0,-0.2371119775126608,236499.55,44718.99,1919.770458072464,90.71626365342262,-0.1639903221793917
206886201,2024,197.872,51.0,-0.989922698967372,4841.26,4402.860000000001,26.37976284616005,85.00180098684211,-0.9883100048878043
206886202,2022,10928.78,5518.0,,479390.19,313421.04,64.79685873220897,137.2340701603274,0.1511836258116988
206886202,2023,8136.82,3814.0,-0.229620932047646,396003.62,246611.93,63.832591189179325,117.29781640362668,-0.10560950850510147
206886202,2024,1105.9499999999998,704.0,-0.8244774520150395,58425.22,36202.28,42.1074644808531,63.4293421851906,-0.8062739917494259
338963201,2023,3897.0,39.0,,1138.94,1138.94,0.2680478474948433,24.392291666666665,0.004160238440054467
338963201,2024,6648.0,76.0,-0.2547741034000931,12295.39,12248.64,2.093706300465974,183.65111875,-0.24464396492979232
338963224,2023,7850.0,12.0,,2440.97,2440.97,0.3109515923566879,203.41416666666663,0.008423246853179852
338963224,2024,13222.0,68.0,0.1719745222929936,95299.61,95269.53,14.795436968575572,1620.6170851023976,0.21287851001908825
338963601,2023,364619.971,4947.0,,527674.98,426203.89,3.9348349784186905,209.86141311380945,0.5126273475062576
338963601,2024,680821.872,8579.0,2.504736313911354,900956.68,724491.19,2.751247397117221,162.93972621709878,1.9324775634361044
338963624,2023,275662.784,1842.0,,2247891.8,2135152.0,6.841168905305926,712.8532598128754,0.9292698818306944
338963624,2024,1018410.79,4774.0,9.696530573896082,3100439.31,2851556.63,3.823720551930117,475.6039168038873,2.9083710939731002
338963801,2023,330652.0,2481.0,,449947.12,184742.87,1.9251916718262465,211.77227315725696,0.4565006297903612
338963801,2024,478410.75,3836.0,0.188375547895309,692542.5599999999,453784.29,2.0027224577012506,177.2884607035883,0.8610397059567735
338963812,2023,255420.0,1030.0,,309777.51,96354.41,2.7424429815163185,395.2353093962469,0.3415615803335006
338963812,2024,650198.0,2008.0,1.6608495369966845,228670.01,185244.82,1.1158349563110457,121.3132554693661,1.7054398091963963
